label,nb_universites
TOULOUSE,227
NICE,179
SAINT-DENIS,172
NANTES,150
MONTPELLIER,136
STRASBOURG,127
BORDEAUX,126
LILLE,110
REIMS,106
LE HAVRE,102
RENNES,101
TOULON,96
NÎMES,96
AIX-EN-PROVENCE,91
SAINT-ETIENNE,91
AMIENS,90
PARIS 19E  ARRONDISSEMENT,89
DIJON,88
LE MANS,87
PARIS 20E  ARRONDISSEMENT,87
PARIS 15E  ARRONDISSEMENT,82
ANGERS,75
PARIS 18E  ARRONDISSEMENT,74
SAINT-PAUL,74
ORLÉANS,72
CLERMONT-FERRAND,71
PARIS 13E  ARRONDISSEMENT,70
BESANÇON,70
TOURS,69
PERPIGNAN,68
LIMOGES,67
GRENOBLE,66
MARSEILLE 15E  ARRONDISSEMENT,65
METZ,63
TOURCOING,62
PARIS 17E  ARRONDISSEMENT,62
AVIGNON,62
MARSEILLE 13E  ARRONDISSEMENT,61
VILLEURBANNE,61
ARGENTEUIL,61
ROUEN,60
MAMOUDZOU,60
FORT-DE-FRANCE,59
BREST,59
ROUBAIX,59
AULNAY-SOUS-BOIS,57
ANNECY,56
PARIS 16E  ARRONDISSEMENT,56
MONTREUIL,56
MULHOUSE,55
SAINT-PIERRE,55
DUNKERQUE,55
PARIS 11E  ARRONDISSEMENT,54
NOUMÉA,53
CERGY,52
NANCY,52
SAINT-LOUIS,51
PARIS 12E  ARRONDISSEMENT,50
VALENCE,50
NANTERRE,49
CHERBOURG-EN-COTENTIN,49
POITIERS,48
EVRY-COURCOURONNES,47
CRÉTEIL,47
NOISY-LE-GRAND,46
BEAUVAIS,46
MARSEILLE  8E  ARRONDISSEMENT,45
BÉZIERS,45
VILLENEUVE-D'ASCQ,45
PARIS 14E  ARRONDISSEMENT,45
VERSAILLES,45
BOURGES,43
LE TAMPON,43
MARSEILLE  9E  ARRONDISSEMENT,43
SARCELLES,43
SAINT-JOSEPH,42
MONTAUBAN,42
ARLES,42
MARSEILLE 14E  ARRONDISSEMENT,42
VITRY-SUR-SEINE,41
COURBEVOIE,41
COLOMBES,41
VÉNISSIEUX,41
BLOIS,40
ASNIÈRES-SUR-SEINE,40
BOULOGNE-BILLANCOURT,39
LES ABYMES,39
AUBERVILLIERS,39
CAEN,39
LA ROCHELLE,39
LA ROCHE-SUR-YON,38
CHAMBÉRY,38
SAINTE-MARIE,38
CHAMPIGNY-SUR-MARNE,38
DRANCY,37
MANTES-LA-JOLIE,37
NIORT,37
SAINT-NAZAIRE,37
TRAPPES,37
LAVAL,37
MARSEILLE 12E  ARRONDISSEMENT,37
CARCASSONNE,36
LYON 8E  ARRONDISSEMENT,36
VAULX-EN-VELIN,36
CALAIS,36
SAINT-ANDRÉ,36
TROYES,36
NARBONNE,35
MEAUX,35
MARSEILLE 11E  ARRONDISSEMENT,35
ANTIBES,35
CHELLES,35
CHOLET,35
CAYENNE,35
LYON 3E  ARRONDISSEMENT,34
CREIL,34
PAU,34
LIFOU,34
CORBEIL-ESSONNES,34
LE BLANC-MESNIL,34
PARIS 10E  ARRONDISSEMENT,33
SAINT-BENOÎT,33
EPINAY-SUR-SEINE,33
SAINT-LAURENT-DU-MARONI,33
CANNES,32
LYON 7E  ARRONDISSEMENT,32
BOBIGNY,32
HYÈRES,32
COLMAR,32
PESSAC,31
CHÂTEAUROUX,31
ANGOULÊME,31
SEVRAN,31
ISSY-LES-MOULINEAUX,31
CHARLEVILLE-MÉZIÈRES,31
