label,insee_code,loyer_m2,logements_etudiants,logements_sociaux,meteo_type,secteurs_dominants
Abbeville,,10.5,1120,5601,Froide,"Logistique, Commerce"
Achères,,25.7,1083,5415,Tempérée,"Finance, Luxe, Santé"
Agde,,13.0,1480,7403,Ensoleillée,"Aérospatial, Santé"
Agen,,13.4,1609,8048,Océanique,"Agroalimentaire, Vin"
Aix-en-Provence,,14.6,7396,36983,Ensoleillée,"Tourisme, Santé"
Aix-les-Bains,,12.3,1608,8043,Montagne,"Industrie, Recherche"
Ajaccio,,13.1,3767,18835,Ensoleillée,"Tourisme, Artisanat"
Albi,,13.0,2530,12651,Ensoleillée,"Aérospatial, Santé"
Alençon,,9.3,1283,6416,Océanique,"Agro, Maritime"
Alfortville,,25.7,2278,11392,Tempérée,"Finance, Luxe, Santé"
Allauch,,14.6,1070,5351,Ensoleillée,"Tourisme, Santé"
Alès,,13.0,2251,11256,Ensoleillée,"Aérospatial, Santé"
Amiens,,10.5,6739,33695,Froide,"Logistique, Commerce"
Angers,,11.9,7877,39388,Océanique,"Naval, Agro"
Anglet,,13.4,2114,10572,Océanique,"Agroalimentaire, Vin"
Angoulême,,13.4,2071,10355,Océanique,"Agroalimentaire, Vin"
Annecy,,12.3,6563,32818,Montagne,"Industrie, Recherche"
Annemasse,,12.3,1879,9398,Montagne,"Industrie, Recherche"
Antibes,,14.6,3830,19153,Ensoleillée,"Tourisme, Santé"
Antony,,25.7,3201,16006,Tempérée,"Finance, Luxe, Santé"
Arcueil,,25.7,1093,5467,Tempérée,"Finance, Luxe, Santé"
Argenteuil,,25.7,5356,26783,Tempérée,"Finance, Luxe, Santé"
Arles,,14.6,2557,12789,Ensoleillée,"Tourisme, Santé"
Armentières,,10.5,1305,6526,Froide,"Logistique, Commerce"
Arras,,10.5,2131,10655,Froide,"Logistique, Commerce"
Asnières-sur-Seine,,25.7,4572,22864,Tempérée,"Finance, Luxe, Santé"
Athis-Mons,,25.7,1822,9112,Tempérée,"Finance, Luxe, Santé"
Aubagne,,14.6,2386,11931,Ensoleillée,"Tourisme, Santé"
Aubervilliers,,25.7,4474,22372,Tempérée,"Finance, Luxe, Santé"
Auch,,13.0,1141,5706,Ensoleillée,"Aérospatial, Santé"
Aulnay-sous-Bois,,25.7,4318,21590,Tempérée,"Finance, Luxe, Santé"
Aurillac,,12.3,1309,6547,Montagne,"Industrie, Recherche"
Auxerre,,10.4,1761,8809,Tempérée,"Agro, Mécanique"
Avignon,,14.6,4588,22940,Ensoleillée,"Tourisme, Santé"
Bagneux,,25.7,2182,10911,Tempérée,"Finance, Luxe, Santé"
Bagnolet,,25.7,2088,10444,Tempérée,"Finance, Luxe, Santé"
Baie-Mahault,,12.0,1547,7735,Tempérée,"Services, Commerce"
Bastia,,13.1,2372,11864,Ensoleillée,"Tourisme, Artisanat"
Bayonne,,13.4,2665,13328,Océanique,"Agroalimentaire, Vin"
Beaune,,10.4,1011,5058,Tempérée,"Agro, Mécanique"
Beaupréau-en-Mauges,,11.9,1194,5971,Océanique,"Naval, Agro"
Beauvais,,10.5,2795,13976,Froide,"Logistique, Commerce"
Belfort,,10.4,2282,11411,Tempérée,"Agro, Mécanique"
Bergerac,,13.4,1342,6713,Océanique,"Agroalimentaire, Vin"
Besançon,,10.4,6002,30014,Tempérée,"Agro, Mécanique"
Bezons,,25.7,1715,8578,Tempérée,"Finance, Luxe, Santé"
Biarritz,,13.4,1290,6452,Océanique,"Agroalimentaire, Vin"
Blagnac,,13.0,1365,6828,Ensoleillée,"Aérospatial, Santé"
